NR_PROPOSTA;ITEM_PROPOSTA;DT_UPLOAD;HOSPEDAGEM;CD_CLI;FAT_FAIXA;CD_PROD;QTD;MESES_BONIF;VL_PCT_DESC_TEMP;VL_PCT_DESCONTO;PRC_UNITARIO;VL_DESCONTO_TEMPORARIO;VL_TOTAL;VL_FULL;VL_DESCONTO
AAMQSF;01;2025-03-25;ON PREMISES;TFDPFE;Sem Informações de Faturamento;0113301112;1;0;0;28,6492879623732;2101,92868395988;0;2101,92868395988;6599,31618873727;4497,38750477739
AAJUVA;07;2024-03-28;ON PREMISES;T03306;Faixa 08 - De 150 M ate 300 M;AUT.04.000450;1;0;0;0;0,53388988572581;0;0,53388988572581;0,53388988572581;0
AAKX71;01;2024-08-21;ON PREMISES;T48463;Faixa 03 - De 15 M ate 25 M;1M13301050;1;0;0;0;1222,89790447049;0;1222,89790447049;63,0578605187964;0
AAMJNP;01;2025-02-17;ON PREMISES;TFEED1;Sem Informações de Faturamento;71A3301148;1;0;0;0;60,1067526465167;0;60,1067526465167;60,1067526465167;0
AAKFC4;01;2024-05-23;ON PREMISES;TDC1GA;Sem Informações de Faturamento;CONSV.502;4,5;0;0;0;93,9520083156387;0;422,786139349058;0,0189173581556389;0
AAMLYX;02;2025-02-26;ON PREMISES;TFEEMT;Sem Informações de Faturamento;AUT.01.000749;1;999;21,8231484454924;0;615,860900542877;319,707556687666;615,860900542877;615,860900542877;0
AAMNGW;01;2025-03-05;ON PREMISES;TFBLJ3;Faixa 02 - De 7,5 M ate 15 M;71A3301148;1;999;0,895421619366909;0;60,1067526465167;8,59268446002799;60,1067526465167;60,1067526465167;0
AAKSH2;06;2024-07-11;ON PREMISES;T16221;Faixa 06 - De 50 M ate 75 M;AUT.04.000405;1;0;0;0;1869,6151180939;0;1869,6151180939;1869,6151180939;0
AALXJE;02;2024-12-19;ON PREMISES;TFDGK2;Sem Informações de Faturamento;AUT.01.000243;12;0;0;0;27,7454586282704;0;332,945503539245;332,945503539245;0
AAJRBI;03;2024-03-07;ON PREMISES;TFBLM1;Faixa 00 - Ate 4,5 M;AUT.01.000306;1;0;0;24,0838988608123;10,9552523007989;0;10,9552523007989;25,6519376590464;14,6966853582475
AAMNFD;01;2025-02-28;ON PREMISES;T11036;Faixa 08 - De 150 M ate 300 M;2010095-6;20;0;0;0;117,224562704443;0;2344,49125408885;1687,42834748299;0
AAKCL3;11;2024-04-25;TOTVS CLOUD;T61412;Faixa 05 - De 35 M ate 50 M;AUT.04.000769;1;0;0;17,2652422100465;7243,58255351518;0;7243,58255351518;12292,7431532615;5049,16059974633
AAKDTW;01;2024-04-30;ON PREMISES;TFDOAP;Sem Informações de Faturamento;1113001015-7;1;0;0;8,84911975947109;187,071652872429;0;187,071652872429;236,946216685429;49,874563813
AAJXEQ;06;2024-04-19;ON PREMISES;TDC1KY;Faixa 02 - De 7,5 M ate 15 M;AUT.05.000021;10;0;0;16,4917324543492;66,4209464131322;0;664,209464131322;1093,00291565914;428,793451527815
AALH49;01;2024-10-08;ON PREMISES;T11855;Faixa 08 - De 150 M ate 300 M;71A3301088;2;0;0;12,6115721037593;833,078414600659;0;1666,15682920132;2380,18200314249;714,025173941171
AAKYPN;01;2024-08-21;ON PREMISES;TFDVH0;Sem Informações de Faturamento;BMV.983;1;0;0;40,3233998730863;537,824696222182;0;537,824696222182;13189,451152983;12651,6264567608
AALWPW;07;2024-12-12;ON PREMISES;TFCSJQ;Sem Informações de Faturamento;AUT.05.000618;12200;0;0;41,2440446366608;0,00420385736791976;0;51,2870598886211;2718,21417409692;2666,9271142083
AAJO77;07;2024-03-28;TOTVS CLOUD;T50869;Faixa 06 - De 50 M ate 75 M;AUT.01.000307;15;0;0;0;80,1633561488619;0;1202,45034223293;1051,67899773249;0
AALMSZ;12;2025-02-19;TOTVS CLOUD;TB1393;Sem Informações de Faturamento;7T63301069;12;999;17,656200945263;0;293,673068008139;1480,11091752666;3524,07681609766;3524,07681609766;0
AAKXXU;01;2024-08-08;ON PREMISES;T52473;Faixa 00 - Ate 4,5 M;1131001030-6;1;0;0;0;5540,75968035087;0;5540,75968035087;5540,75968035087;0
AALUDD;03;2024-11-27;ON PREMISES;TFECT0;Sem Informações de Faturamento;2F66001335;1;0;0;0;630,578605187964;0;630,578605187964;630,578605187964;0
AAJZ09;02;2024-03-28;ON PREMISES;TB0487;Faixa 06 - De 50 M ate 75 M;2010083-8;8;0;0;0;87,5032911132498;0;700,026328905998;487,647454678692;0
AAKIKP;03;2024-05-24;TOTVS CLOUD;TFDU41;Faixa 04 - De 25 M ate 35 M;7T63301071;1;0;0;0;184,898258613215;0;184,898258613215;184,898258613215;0
AALRS4;02;2024-11-18;ON PREMISES;TEZLEW;Sem Informações de Faturamento;AGV.00131;500;0;0;26,2741085494985;0,945867907781946;0;472,933953890973;1261,15721037593;788,223256484955
AALK28;01;2024-11-01;TOTVS CLOUD;T25978;Faixa 08 - De 150 M ate 300 M;2F26001121;1;0;0;0;735,128537928128;0;735,128537928128;0,00420385736791976;0
AALI13;01;2024-11-29;ON PREMISES;TFCC21;Sem Informações de Faturamento;0113301114;1;0;0;16,815429471679;436,490714368477;0;436,490714368477;727,48592523325;290,995210864774
AAKPWW;01;2024-06-28;ON PREMISES;T61539;Faixa 06 - De 50 M ate 75 M;2012101-3;80;0;0;4,31315765948567;75,7114711962349;0;6056,91769569879;6749,71338993197;692,795694233176
AAJYL7;02;2024-03-28;TOTVS CLOUD;T29941;Faixa 05 - De 35 M ate 50 M;7T63303026;50;999;23,1212155235587;0;1,52179636718695;41,8494000976412;76,0898183593476;76,0898183593476;0
AALLST;01;2024-11-01;ON PREMISES;TEVVV9;Faixa 01 - De 4,5 M ate 7,5 M;AUT.05.000910;1;0;0;0;231,212155235587;0;231,212155235587;147,52176275504;0
AALKAI;02;2024-12-10;ON PREMISES;TFDGKG;Sem Informações de Faturamento;1131001028-0;1;0;0;14,3435613393422;4816,63684101195;0;4816,63684101195;7311,75650845074;2495,11966743878
AAJY48;03;2024-07-11;ON PREMISES;T74126;Sem Informações de Faturamento;GPV.000075;1;0;0;0;5894,64880129709;0;5894,64880129709;327,598196967251;0
AAJZLO;01;2024-03-27;ON PREMISES;TFDSGE;Sem Informações de Faturamento;BMV.3002001;1;0;0;0;420,595929660372;0;420,595929660372;0,00420385736791976;0
AAMFJZ;01;2025-01-27;ON PREMISES;TEY678;Faixa 00 - Ate 4,5 M;1133387003;1;0;0;11,262133888657;2069,87427152949;0;2069,87427152949;2827,31268050917;757,438408979679
AAMEYE;01;2025-01-24;ON PREMISES;TEZLAO;Faixa 09 - De 300 M ate 500 M;0131001050-1;1;0;0;0;63484,8042730823;0;63484,8042730823;63484,8042730823;0
AAJUIC;04;2024-03-12;ON PREMISES;TFDSE7;Sem Informações de Faturamento;1113301190;2;0;0;3,38830903854333;247,39280224471;0;494,78560448942;538,169412526352;43,3838080369319
AAINHO;01;2024-06-10;ON PREMISES;TFDPRM;Faixa 00 - Ate 4,5 M;71A3301001;1;0;0;0;298,230049394964;0;298,230049394964;298,230049394964;0
AAMICH;18;2025-02-13;ON PREMISES;T74126;Sem Informações de Faturamento;2061269;1,5;0;0;0,00840771473583952;162,899473006891;0;244,349209510336;244,349209510336;0,0546501457829569
AAMGES;02;2025-02-24;ON PREMISES;T76352;Faixa 06 - De 50 M ate 75 M;5J16017034;5;0;0;0;131,042641872795;0;655,213209363974;0,0210192868395988;0
AAJVJQ;08;2024-03-12;ON PREMISES;TFDSEC;Sem Informações de Faturamento;FDV.000097;15;0;0;0;13,0235501258154;0;195,353251887231;186,020688530449;0
AAKIKB;03;2024-05-31;ON PREMISES;T39941;Faixa 07 - De 75 M ate 150 M;AUT.01.000566;1;0;0;4,20385736791976;189,173581556389;0;189,173581556389;210,192868395988;21,0192868395988
AALCWR;01;2024-11-11;ON PREMISES;T26845;Faixa 00 - Ate 4,5 M;3116009901;2;0;0;0;1843,96738429222;0;3687,93476858444;0,00840771473583952;0
AAKZB8;01;2024-08-14;ON PREMISES;TEZAUP;Faixa 11 - Acima de 850 M;1131001036-0;1;0;0;0;46803,7889368852;0;46803,7889368852;46803,7889368852;0
AALZBO;10;2025-03-21;ON PREMISES;T76679;Faixa 08 - De 150 M ate 300 M;AUT.04.000344;5;0;0;0;16,2857434433211;0;81,4287172166057;81,4287172166057;0
AAKPP4;01;2024-07-11;TOTVS CLOUD;T49295;Faixa 03 - De 15 M ate 25 M;2F26001121;1;0;0;0;58,8540031508766;0;58,8540031508766;0,00420385736791976;0
AAKTO8;01;2024-07-22;ON PREMISES;T26584;Faixa 03 - De 15 M ate 25 M;AUT.01.000189;1;999;18,2466327125873;0;299,537449036387;130,012696817654;299,537449036387;299,537449036387;0
AALZGY;04;2024-12-18;ON PREMISES;TEZMS6;Faixa 03 - De 15 M ate 25 M;AGV.00173;1;0;0;10,5096434197994;315,289302593982;0;315,289302593982;420,385736791976;105,096434197994
AAKOXZ;03;2024-06-28;ON PREMISES;TFDUPZ;Sem Informações de Faturamento;AUT.04.000701;1;0;0;0;10,9846793023743;0;10,9846793023743;10,9846793023743;0
AALYXL;01;2024-12-30;ON PREMISES;TFEDH3;Sem Informações de Faturamento;AUT.05.000910;1;0;0;1,6815429471679;3081,66286669779;0;3081,66286669779;3210,06548614353;128,402619445741
AAMPZM;03;2025-03-24;ON PREMISES;TFBNBL;Faixa 02 - De 7,5 M ate 15 M;CONSV.017;8;0;0;0;83,2363758848112;0;665,89100707849;322,2845212542;0
AAMGBD;01;2025-02-28;ON PREMISES;T51294;Sem Informações de Faturamento;1113401004-8;1000;0;0;13,0319578405513;0,840771473583952;0;840,771473583952;1219,11863669673;378,347163112778
AAKJL2;02;2024-05-29;ON PREMISES;TFDSHW;Sem Informações de Faturamento;71A3301149;3;0;0;0;12,0188282148826;0;36,0564846446478;36,0564846446478;0
AAMGF8;10;2025-02-04;ON PREMISES;TFECXR;Sem Informações de Faturamento;AUT.01.000525;1;0;0;0;23,1212155235587;0;23,1212155235587;23,1212155235587;0
AAMGQM;05;2025-02-25;TOTVS CLOUD;T89811;Faixa 08 - De 150 M ate 300 M;FDV.000046;1;0;0;0;3,18232002751526;0;3,18232002751526;4,1281879352972;0
AALLZU;06;2024-12-20;TOTVS CLOUD;TFECKX;Sem Informações de Faturamento;2F66001332;1;0;0;35,62769119312;840,771473583952;0;840,771473583952;5511,70682208117;4670,93534849722
AALJXJ;01;2024-10-21;ON PREMISES;T76001;Faixa 08 - De 150 M ate 300 M;5J16017024;5;0;0;0;436,158609636411;0;2180,79304818205;0,0210192868395988;0
AAMEHB;02;2025-01-22;ON PREMISES;TEZIFP;Faixa 08 - De 150 M ate 300 M;1131053001;1;0;0;12,6115721037593;429,630019144032;0;429,630019144032;613,754768001549;184,124748857518
AAKNJC;05;2024-06-19;ON PREMISES;TFDUHI;Sem Informações de Faturamento;CMV.001527;1;0;0;0;105,096434197994;0;105,096434197994;2,52231442075186;0
AAKDLN;08;2024-04-25;ON PREMISES;TFDTMO;Sem Informações de Faturamento;BMV.2008081;1;0;0;0;25,2231442075186;0;25,2231442075186;0,00420385736791976;0
AALHHP;03;2024-10-11;ON PREMISES;TF1264;Sem Informações de Faturamento;1M13301037;1;0;0;0;86,603665636515;0;86,603665636515;0,00420385736791976;0
AAH814;05;2024-08-28;ON PREMISES;T27782;Faixa 07 - De 75 M ate 150 M;01A3301001;1;0;0;0;925,899585284327;0;925,899585284327;925,899585284327;0
AAMEC3;01;2025-01-22;ON PREMISES;TFCLCO;Faixa 06 - De 50 M ate 75 M;0131001016-3;1;0;0;0;4939,62489216781;0;4939,62489216781;4939,62489216781;0
AALTOA;04;2024-11-25;ON PREMISES;TFECQY;Sem Informações de Faturamento;AGV.00159;1;0;0;12,0104205001468;105,096434197994;0;105,096434197994;147,135007877192;42,0385736791976
AALYB4;06;2025-01-31;ON PREMISES;TFDE26;Sem Informações de Faturamento;CMV.004720;8;0;0;0;69,5318008653928;0;556,254406923143;556,254406923143;0
AAMCIA;01;2025-03-21;ON PREMISES;TFEEXW;Faixa 08 - De 150 M ate 300 M;7TA1001079;50;999;21,0192868395988;0;2,63581856968569;65,8954642421422;131,790928484284;131,790928484284;0
AALO84;05;2024-11-12;TOTVS CLOUD;T60330;Faixa 00 - Ate 4,5 M;2F66001332;1;0;0;25,8453150979707;2101,92868395988;0;2101,92868395988;5457,00202615243;3355,07334219255
AAJXIQ;03;2024-03-21;ON PREMISES;TFDSHW;Sem Informações de Faturamento;1113301179;4;0;0;9,7235220919984;38,7805842190598;0;155,122336876239;201,785153660148;46,6628167839093
AAJUVA;06;2024-03-28;ON PREMISES;T03306;Faixa 08 - De 150 M ate 300 M;AUT.04.000443;1;0;0;0;506,409270111718;0;506,409270111718;506,409270111718;0
AAKHMW;04;2024-05-31;TOTVS CLOUD;TFDOSV;Sem Informações de Faturamento;2F66001332;1;0;0;0;1261,15721037593;0;1261,15721037593;1261,15721037593;0
AAKU46;01;2024-07-26;TOTVS CLOUD;TFDUZI;Faixa 01 - De 4,5 M ate 7,5 M;7T63301069;4;0;0;0;297,977817952888;0;1191,91127181155;1191,91127181155;0
AAJS07;01;2024-04-30;TOTVS CLOUD;TFDTQO;Faixa 03 - De 15 M ate 25 M;7T63301070;4;999;3,15289302593982;0;242,478492981612;72,7435478944835;969,913971926447;969,913971926447;0
AAKFMM;02;2024-05-25;ON PREMISES;TB4359;Faixa 02 - De 7,5 M ate 15 M;1113301134;6;0;0;8,3194337311132;63,8986319923804;0;383,391791954282;478,003805876684;94,6120139224021
AAKBM3;02;2024-04-25;ON PREMISES;TFDTOD;Faixa 00 - Ate 4,5 M;AUT.04.000503;1;0;0;0;32,6135254603215;0;32,6135254603215;32,6135254603215;0
AAKKQ6;04;2024-06-19;ON PREMISES;T46988;Faixa 08 - De 150 M ate 300 M;AUT.01.000708;25;0;0;28,4601143808168;10,1565194008941;0;253,912985022353;786,016231366797;532,103246344444
AAJZXG;04;2024-04-04;ON PREMISES;TFDSNB;Faixa 03 - De 15 M ate 25 M;AUT.01.000172;20;999;9,00146755048451;0;37,7338237344478;161,596277222836;754,676474688955;754,676474688955;0
AAKM00;01;2024-07-30;ON PREMISES;T16221;Faixa 06 - De 50 M ate 75 M;1111001176;1;0;0;0;12947,8806931929;0;12947,8806931929;0,00420385736791976;0
AALIXR;02;2024-10-23;ON PREMISES;TFBLRW;Faixa 08 - De 150 M ate 300 M;2010095-6;9;0;0;0;158,956254795782;0;1430,58947773257;1430,60629316204;0
AAMBXE;04;2025-02-06;ON PREMISES;TDC0IN;Faixa 03 - De 15 M ate 25 M;CONSV.218;22;0;0;27,0644337346674;1,6815429471679;0;36,9939448376939;103,860500131826;66,8665552941317
AAKLHC;01;2024-06-10;ON PREMISES;T79935;Faixa 07 - De 75 M ate 150 M;0113401004-7;8;0;0;0,155542722613031;30,4065003421636;0;243,252002737309;244,16003592878;0,908033191470668
